Short_Name,Cross_Section_pb,Uncertainty_pb,Status,MCM,DAS
WRtoNMutoMuMuJJ_MWR6000_N3500,3.6e-05,1.233e-08,new,EXO-Run3Summer22EEMiniAODv4-02256,/WRtoNMutoMuMuJJ_MWR6000_N3500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N3700,3.217e-05,1.139e-08,new,EXO-Run3Summer22EEMiniAODv4-02257,/WRtoNMutoMuMuJJ_MWR6000_N3700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N3900,2.834e-05,8.874e-09,new,EXO-Run3Summer22EEMiniAODv4-02258,/WRtoNMutoMuMuJJ_MWR6000_N3900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N4100,2.449e-05,8.552e-09,new,EXO-Run3Summer22EEMiniAODv4-02259,/WRtoNMutoMuMuJJ_MWR6000_N4100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N4300,2.066e-05,6.208e-09,new,EXO-Run3Summer22EEMiniAODv4-02261,/WRtoNMutoMuMuJJ_MWR6000_N4300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N4500,1.703e-05,5.391e-09,new,EXO-Run3Summer22EEMiniAODv4-02263,/WRtoNMutoMuMuJJ_MWR6000_N4500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N4700,1.352e-05,4.627e-09,new,EXO-Run3Summer22EEMiniAODv4-02265,/WRtoNMutoMuMuJJ_MWR6000_N4700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N4900,1.026e-05,3.411e-09,new,EXO-Run3Summer22EEMiniAODv4-02267,/WRtoNMutoMuMuJJ_MWR6000_N4900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N500,0.0001307,4.901e-08,new,EXO-Run3Summer22EEMiniAODv4-02269,/WRtoNMutoMuMuJJ_MWR6000_N500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N5100,7.283e-06,2.531e-09,new,EXO-Run3Summer22EEMiniAODv4-02271,/WRtoNMutoMuMuJJ_MWR6000_N5100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N5300,4.685e-06,1.416e-09,new,EXO-Run3Summer22EEMiniAODv4-02273,/WRtoNMutoMuMuJJ_MWR6000_N5300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N5500,2.618e-06,8.976e-10,new,EXO-Run3Summer22EEMiniAODv4-02275,/WRtoNMutoMuMuJJ_MWR6000_N5500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N5700,1.137e-06,3.381e-10,new,EXO-Run3Summer22EEMiniAODv4-02277,/WRtoNMutoMuMuJJ_MWR6000_N5700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N5900,3.269e-07,9.383e-11,new,EXO-Run3Summer22EEMiniAODv4-02279,/WRtoNMutoMuMuJJ_MWR6000_N5900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N700,0.0001132,4.226e-08,new,EXO-Run3Summer22EEMiniAODv4-02281,/WRtoNMutoMuMuJJ_MWR6000_N700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N900,0.0001007,3.43e-08,new,EXO-Run3Summer22EEMiniAODv4-02283,/WRtoNMutoMuMuJJ_MWR6000_N900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR8000_N100,4.236e-05,1.328e-08,new,EXO-Run3Summer22EEMiniAODv4-02260,/WRtoNMutoMuMuJJ_MWR8000_N100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR8000_N1100,1.16e-05,4.32e-09,new,EXO-Run3Summer22EEMiniAODv4-02262,/WRtoNMutoMuMuJJ_MWR8000_N1100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR8000_N1300,9.748e-06,3.512e-09,new,EXO-Run3Summer22EEMiniAODv4-02264,/WRtoNMutoMuMuJJ_MWR8000_N1300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR8000_N1500,8.371e-06,2.754e-09,new,EXO-Run3Summer22EEMiniAODv4-02266,/WRtoNMutoMuMuJJ_MWR8000_N1500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR8000_N1700,7.343e-06,2.565e-09,new,EXO-Run3Summer22EEMiniAODv4-02268,/WRtoNMutoMuMuJJ_MWR8000_N1700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR8000_N1900,6.547e-06,2.28e-09,new,EXO-Run3Summer22EEMiniAODv4-02270,/WRtoNMutoMuMuJJ_MWR8000_N1900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR8000_N2100,5.926e-06,2.065e-09,new,EXO-Run3Summer22EEMiniAODv4-02272,/WRtoNMutoMuMuJJ_MWR8000_N2100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR8000_N2300,5.436e-06,1.93e-09,new,EXO-Run3Summer22EEMiniAODv4-02274,/WRtoNMutoMuMuJJ_MWR8000_N2300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR8000_N2500,5.038e-06,1.767e-09,new,EXO-Run3Summer22EEMiniAODv4-02276,/WRtoNMutoMuMuJJ_MWR8000_N2500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR8000_N2700,4.686e-06,1.55e-09,new,EXO-Run3Summer22EEMiniAODv4-02278,/WRtoNMutoMuMuJJ_MWR8000_N2700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR8000_N2900,4.392e-06,1.537e-09,new,EXO-Run3Summer22EEMiniAODv4-02280,/WRtoNMutoMuMuJJ_MWR8000_N2900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR8000_N300,3.04e-05,9.678e-09,new,EXO-Run3Summer22EEMiniAODv4-02282,/WRtoNMutoMuMuJJ_MWR8000_N300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR8000_N3100,4.122e-06,1.418e-09,new,EXO-Run3Summer22EEMiniAODv4-02284,/WRtoNMutoMuMuJJ_MWR8000_N3100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v3/MINIAODSIM
WRtoNMutoMuMuJJ_MWR8000_N3300,3.871e-06,1.194e-09,new,EXO-Run3Summer22EEMiniAODv4-02285,/WRtoNMutoMuMuJJ_MWR8000_N3300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR8000_N3500,3.653e-06,1.199e-09,new,EXO-Run3Summer22EEMiniAODv4-02286,/WRtoNMutoMuMuJJ_MWR8000_N3500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR8000_N3700,3.434e-06,1.179e-09,new,EXO-Run3Summer22EEMiniAODv4-02287,/WRtoNMutoMuMuJJ_MWR8000_N3700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR8000_N3900,3.219e-06,1.056e-09,new,EXO-Run3Summer22EEMiniAODv4-02288,/WRtoNMutoMuMuJJ_MWR8000_N3900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR8000_N4100,3.015e-06,1.034e-09,new,EXO-Run3Summer22EEMiniAODv4-02289,/WRtoNMutoMuMuJJ_MWR8000_N4100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v3/MINIAODSIM
WRtoNMutoMuMuJJ_MWR8000_N4300,2.808e-06,8.314e-10,new,EXO-Run3Summer22EEMiniAODv4-02290,/WRtoNMutoMuMuJJ_MWR8000_N4300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR8000_N4500,2.598e-06,8.231e-10,new,EXO-Run3Summer22EEMiniAODv4-02291,/WRtoNMutoMuMuJJ_MWR8000_N4500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR8000_N4700,2.396e-06,7.763e-10,new,EXO-Run3Summer22EEMiniAODv4-02292,/WRtoNMutoMuMuJJ_MWR8000_N4700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR8000_N4900,2.189e-06,6.758e-10,new,EXO-Run3Summer22EEMiniAODv4-02293,/WRtoNMutoMuMuJJ_MWR8000_N4900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
